bin,m/z,Depth0
302,0.011397692513163164,0
303,0.011589247016982013,0
304,0.011782397808332694,0
305,0.011977144887215189,0
306,0.012173488253629511,0
307,0.012371427907575654,0
308,0.012570963849053632,0
309,0.01277209607806343,0
310,0.012974824594605045,0
311,0.013179149398678484,0
312,0.013385070490283747,0
313,0.01359258786942084,0
314,0.01380170153608976,0
315,0.014012411490290493,0
316,0.01422471773202305,0
317,0.01443862026128743,0
318,0.014654119078083635,0
319,0.014871214182411685,0
320,0.015089905574271537,0
321,0.015310193253663213,0
322,0.015532077220586712,0
323,0.015755557475042037,0
324,0.015980634017029205,0
325,0.016207306846548173,0
326,0.01643557596359897,0
327,0.016665441368181586,0
328,0.016896903060296026,0
329,0.017129961039942306,0
330,0.017364615307120402,0
331,0.017600865861830316,0
332,0.017838712704072054,0
333,0.018078155833845613,0
334,0.018319195251151013,0
335,0.018561830955988227,0
336,0.01880606294835726,0
337,0.019051891228258122,0
338,0.019299315795690802,0
339,0.01954833665065531,0
340,0.01979895379315164,0
341,0.020051167223179803,0
342,0.020304976940739777,0
343,0.020560382945831575,0
344,0.020817385238455204,0
345,0.02107598381861065,0
346,0.021336178686297936,0
347,0.021597969841517028,0
348,0.021861357284267944,0
349,0.02212634101455069,0
350,0.022392921032365263,0
351,0.022661097337711652,0
352,0.022930869930589872,0
353,0.023202238810999906,0
354,0.023475203978941782,0
355,0.023749765434415464,0
356,0.02402592317742097,0
357,0.02430367720795831,0
358,0.02458302752602746,0
359,0.02486397413162846,0
360,0.02514651702476126,0
361,0.025430656205425884,0
362,0.025716391673622333,0
363,0.026003723429350624,0
364,0.02629265147261073,0
365,0.026583175803402647,0
366,0.02687529642172639,0
367,0.027169013327581957,0
368,0.02746432652096937,0
369,0.02776123600188859,0
370,0.02805974177033963,0
371,0.028359843826322492,0
372,0.028661542169837177,0
373,0.028964836800883687,0
374,0.02926972771946205,0
375,0.029576214925572216,0
376,0.029884298419214198,0
377,0.030193978200388,0
378,0.030505254269093632,0
379,0.03081812662533111,0
380,0.031132595269100387,0
381,0.03144866020040149,0
382,0.03176632141923441,0
383,0.032085578925599156,0
384,0.032406432719495726,0
385,0.032728882800924154,0
386,0.03305292916988437,0
387,0.033378571826376414,0
388,0.03370581077040028,0
389,0.034034646001955965,0
390,0.034365077521043515,0
391,0.03469710532766284,0
392,0.035030729421814,0
393,0.03536594980349699,0
394,0.035702766472711804,0
395,0.03604117942945847,0
396,0.03638118867373692,0
397,0.0367227942055472,0
398,0.0370659960248893,0
399,0.03741079413176323,0
400,0.037757188526169015,0
401,0.03810517920810659,0
402,0.03845476617757598,0
403,0.03880594943457721,0
404,0.039158728979110255,0
405,0.039513104811175155,0
406,0.039869076930771845,0
407,0.040226645337900366,0
